Country,Regulator,Issuance,Year,Scope,Fraud Reporting,"Fraud controls (including authentication technology, IT related controls, user protection)",Incident management and reporting,Source_Original,Source_EN,Amendment_Of
Singapore,Monetary Authority of Singapore (MAS),Guidelines on Shared Responsibility Framework (SRF) for e-payments (2024);,2024.0,"Banks and relevant payment service providers issuing protected accounts

Major Payments Institutions","- Submit report to MAS within five (5) working days after the discovery of any suspicious activities and incidents of fraud where such activities or incidents are material to the safety, soundness or reputaton of the relevant entity
- Lodge a police report and submit to MAS a copy of the police report. Otherwise, notify MAS of reasons for not lodging a police report.","- ScamShield mobile app, SMS Sender ID Registry regime, anti-malware controls, fraud surveillance, and detection capabilities, public education, through public advisories and sharing best practices
- Preventive Measures, Detective Measures and Remedial Measures
- Ability for users to block accounts or payment instruments
- Measures to detect unauthorised transactions and shall ensure secure authentication and transaction verification mechanisms
- Real-time monitoring, scam detection controls, and measures to prevent, detect and disrupt scams and movement of scam proceeds.","- Maximum unscheduled downtime for each critical system that affects the relevant entity’s operations or service to its customers
should not exceed a total of 4 hours within any period of 12 months
- Establish a recovery time objective (“RTO”) of not more than 4
hours for each critical system
- Notify MAS within one (1) hour from the discovery of a relevant incident
- Submit a root cause and impact analysis report to MAS within 14 days or such longer period as the Authority may allow, from the discovery of the relevant incident",https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/guidelines-on-shared-responsibility-framework/guidelines-on-shared-responsibility-framework.pdf,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/guidelines-on-shared-responsibility-framework/guidelines-on-shared-responsibility-framework.pdf,
Singapore,Monetary Authority of Singapore (MAS),Anti-scam Measures by Major Payment Institutions that issue Personal Payment Accounts containing e-money,2024.0,Applies to Major Payment Institutions issuing e-wallets,,-do-,-do-,https://www.mas.gov.sg/-/media/mas-media-library/regulation/circulars/pd/circular-on-anti-scam-measures/circular-on-anti-scam-measures-by-major-payment-institutions-issuing-e-wallets.pdf,https://www.mas.gov.sg/-/media/mas-media-library/regulation/circulars/pd/circular-on-anti-scam-measures/circular-on-anti-scam-measures-by-major-payment-institutions-issuing-e-wallets.pdf,
Singapore,Monetary Authority of Singapore (MAS),MAS Notice No. PSN03 - Notice on Reporting of Suspicious Activities and Incidents of Fraud,2019.0,All licensees and all operators and settlement institutions of designatred payment systems,,-do-,-do-,https://www.mas.gov.sg/-/media/mas/regulations-and-financial-stability/regulatory-and-supervisory-framework/anti_money-laundering_countering-the-financing-of-terrorism/psn03-notice-on-reporting-of-suspicious-activities-and-incidents-of-fraud.pdf,https://www.mas.gov.sg/-/media/mas/regulations-and-financial-stability/regulatory-and-supervisory-framework/anti_money-laundering_countering-the-financing-of-terrorism/psn03-notice-on-reporting-of-suspicious-activities-and-incidents-of-fraud.pdf,
Singapore,Monetary Authority of Singapore (MAS),MAS Notice No. FSM-N13: Notice on Technology Risk Management,2024.0,"- Holders of payment services license
- Operators and settlement institutions of designated payment systems",,-do-,-do-,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/trpd/notice-fsm-n13/mas-notice-fsm-n13.pdf?sc_lang=en&hash=53049F1110A8CF2C70F252911DB15092,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/trpd/notice-fsm-n13/mas-notice-fsm-n13.pdf?sc_lang=en&hash=53049F1110A8CF2C70F252911DB15092,
Singapore,Monetary Authority of Singapore (MAS),MAS Notice No. FSM-N14: Notice on Cyber Hygiene,2024.0,"- Holders of payment services license
- Operators and settlement institutions of designated payment systems",,-do-,-do-,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/trpd/notice-fsm-n14/mas-notice-fsm-n14.pdf?sc_lang=en&hash=67839A4BD49C5FEEF28D095167FB170A,https://www.mas.gov.sg/-/media/mas-media-library/regulation/notices/trpd/notice-fsm-n14/mas-notice-fsm-n14.pdf?sc_lang=en&hash=67839A4BD49C5FEEF28D095167FB170A,
Thailand,Bank of Thailand (BOT),BOT Notification No. SorNorChor. 2 /2561 Re: Regulations on Supervision for Members of the Highly Important Payment Systems,2018.0,Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,No explicit provision,"- Have in place plans to prepare for any unusual incidents 
which may cause disruptions or damages to the systems.
- Mandatory incident recording and reporting to BOT through supervisory channels; Timely notification and post-incident reporting required.",https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610084.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610084.pdf,
Thailand,Bank of Thailand (BOT),BOT notification No. SorNorChor. 4/2561 Re:Regulations on  Supervision of  the Designated Payment Systems Business,2018.0,Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,No explicit provision,"- Have in place plans to prepare for any unusual incidents 
which may cause disruptions or damages to the systems.
- Mandatory incident recording and reporting to BOT through supervisory channels; Timely notification and post-incident reporting required.",https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610085.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610085.pdf,
Thailand,Bank of Thailand (BOT),BOT Notification No. SorNorChor. 6/2561 Re: Regulations on General Supervision of Undertaking Designated Payment Service Business,2018.0,Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,No explicit provision,"- Have in place plans to prepare for any unusual incidents 
which may cause disruptions or damages to the systems.
- Mandatory incident recording and reporting to BOT through supervisory channels; Timely notification and post-incident reporting required.",https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610087.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610087.pdf,
Thailand,Ministry of Digital Economy and Society,"Emergency Decree on Measures for the Prevention and Suppression of Technological Crimes, B.E. 2566 (2023)",2023.0,"- financial institution
- operator of a business under the law on payment
systems.",No explicit provision,"'- Share suspected account and transaction information though Central fraud registry system
-  Immediately suspend suspicious transactions and notify relevant authorities
- Support victim‑initiated transaction freezes 
- 24/7 fraud hotlines; Measures to prevent unauthorized transactions and support timely remediation.
",,https://www.mdes.go.th/law/detail/7455-Emergency-Decree-on-Measures-for-the-Prevention-and-Suppression-of-Technological-Crimes--B-E--2566--2023-,https://www.mdes.go.th/law/detail/7455-Emergency-Decree-on-Measures-for-the-Prevention-and-Suppression-of-Technological-Crimes--B-E--2566--2023-,
Thailand,Bank of Thailand (BOT),BOT Notification No. SorNorChor. 11/2561  Re: Policies and Measures on Security of Information Technology Systems,2018.0,Highly Important Payment Systems; Designated Payment Systems; Designated Payment Services,No explicit provision,"Maintain information system secuirty including access control, data confidentiality and integrity protection, system availabilty and IT security audits. ",Require incident management processes to ensure system availability.,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610093.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2561/EngPDF/25610093.pdf,
