Country,Regulator,Issuance,Year,Information asset classification,Data ownership and accountability rules,Data security and confidentiality standards,Consent management standards,Data retention and archiving requirements,Data sharing and interoperability standards,Cross-border data transfer conditions,Data quality and integrity standards,Encryption/cryptography prescriptions,Incident/breach notification timelines,Third-party/outsourcing governance,Data localization rules,"Data Standards (e.g., ISO 20022)",Source_Original,Source_EN,Amendment_Of
Myanmar,Central Bank of Myanmar (CBM),Regulation on Mobile Financial Services (FIL/R/01/03‑2016),2016.0,No explicit provision,No explicit provision,"Each mobile financial service provider and its agents and intermediaries if any, shall ensure privacy and confidentiality of customer information and data. ",No explicit provision,"(a) Mobile financial service providers shall maintain accurate and complete records of MFS accounts, the identity of
customers, agents, transactions undertaken by customers, and the individual balances
held by customers and liquid assets in the trust account.
 (b) These records shall be kept for a period of at least five years. ",No explicit provision,No explicit provision,No explicit provision,No explicit provision,"A  mobile financial service provider shall notify the Central Bank in writing promptly, but no later than two business days if there are any indications of loss of confidential data of the MFS system; and",No explicit provision,No explicit provision,No explicit provision,https://www.cbm.gov.mm/sites/default/files/regulate_launder/_fil-r-01_mobile_financial_services_regulation_eng_final_website_4-4-2016_-5.pdf,https://www.cbm.gov.mm/sites/default/files/regulate_launder/_fil-r-01_mobile_financial_services_regulation_eng_final_website_4-4-2016_-5.pdf,
Myanmar,Central Bank of Myanmar (CBM),MyanmarPay - Digital Payment System (Code of Conduct & Rules and Procedures for Person to Merchants (P2M)),2024.0,No explicit provision,No explicit provision,"

Data Security Policies: Implement strong and healthy data security policies that cover encryption, access control, and secure storage.","-Consumer Consent: All participants must Obtain explicit consent from consumers before collecting, storing, or processing personal information. Consumers must also be informed of their rights to access, correct, or delete their data.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,"-All sensitive data, including transaction and customer information, must be encrypted during transmission and at rest to ensure data integrity and confidentiality.","In the event of a data breach, participants must notify the Central Bank of Myanmar and affected consumers within three business days, detailing the nature of the breach and the steps being taken to mitigate its effects"," In the event of a data breach, participants must notify the Central Bank of Myanmar and affected consumers within three business days, detailing the nature of the breach and the steps being taken to mitigate its effects",No explicit provision,No explicit provision,https://myanmarpay.com.mm/frontend/assets/files/COCwithSetttlementandMFSP.pdf,https://myanmarpay.com.mm/frontend/assets/files/COCwithSetttlementandMFSP.pdf,
Philippines,National Privacy Commission,Data Privacy Act and IRR,2012.0,"The Act covers the following
Personal information refers to any information whether recorded in a material form or not, from which the identity of an individual is apparent or can be reasonably and directly ascertained by the entity holding the information, or when put together with other information would directly and certainly identify an individual.

Sensitive personal information refers to personal information:

(1) About an individual’s race, ethnic origin, marital status, age, color, and religious, philosophical or political affiliations;
(2) About an individual’s health, education, genetic or sexual life of a person, or to any proceeding for any offense committed or alleged to have been committed by such person, the disposal of such proceedings, or the sentence of any court in such proceedings;
(3) Issued by government agencies peculiar to an individual which includes, but not limited to, social security numbers, previous or current health records, licenses or its denials, suspension or revocation, and tax returns; and
(4) Specifically established by an executive order or an act of Congress to be kept classified.","Each personal information controller is responsible for personal information under its control or custody, including information that have been transferred to a third party for processing, whether domestically or internationally, subject to cross-border arrangement and cooperation.

(a) The personal information controller is accountable for complying with the requirements of this Act and shall use contractual or other reasonable means to provide a comparable level of protection while the information are being processed by a third party.

(b) The personal information controller shall designate an individual or individuals who are accountable for the organization’s compliance with this Act. The identity of the individual(s) so designated shall be made known to any data subject upon request.","SEC. 20. Security of Personal Information. – (a) The personal information controller must implement reasonable and appropriate organizational, physical and technical measures intended for the protection of personal information against any accidental or unlawful destruction, alteration and disclosure, as well as against any other unlawful processing.

(b) The personal information controller shall implement reasonable and appropriate measures to protect personal information against natural dangers such as accidental loss or destruction, and human dangers such as unlawful access, fraudulent misuse, unlawful destruction, alteration and contamination.

(c) The determination of the appropriate level of security under this section must take into account the nature of the personal information to be protected, the risks represented by the processing, the size of the organization and complexity of its operations, current data privacy best practices and the cost of security implementation. Subject to guidelines as the Commission may issue from time to time, the measures implemented must include:

(1) Safeguards to protect its computer network against accidental, unlawful or unauthorized usage or interference with or hindering of their functioning or availability;

(2) A security policy with respect to the processing of personal information;

(3) A process for identifying and accessing reasonably foreseeable vulnerabilities in its computer networks, and for taking preventive, corrective and mitigating action against security incidents that can lead to a security breach; and

(4) Regular monitoring for security breaches and a process for taking preventive, corrective and mitigating action against security incidents that can lead to a security breach.

(d) The personal information controller must further ensure that third parties processing personal information on its behalf shall implement the security measures required by this provision.

(e) The employees, agents or representatives of a personal information controller who are involved in the processing of personal information shall operate and hold personal information under strict confidentiality if the personal information are not intended for public disclosure. This obligation shall continue even after leaving the public service, transfer to another position or upon termination of employment or contractual relations.

(f) The personal information controller shall promptly notify the Commission and affected data subjects when sensitive personal information or other information that may, under the circumstances, be used to enable identity fraud are reasonably believed to have been acquired by an unauthorized person, and the personal information controller or the Commission believes that such unauthorized acquisition is likely to give rise to a real risk of serious harm to any affected data subject. The notification shall at least describe the nature of the breach, the sensitive personal information possibly involved, and the measures taken by the entity to address the breach. Notification may be delayed only to the extent necessary to determine the scope of the breach, to prevent further disclosures, or to restore reasonable integrity to the information and communications system.

(1) In evaluating if notification is unwarranted, the Commission may take into account compliance by the personal information controller with this section and existence of good faith in the acquisition of personal information.

(2) The Commission may exempt a personal information controller from notification where, in its reasonable judgment, such notification would not be in the public interest or in the interests of the affected data subjects.

(3) The Commission may authorize postponement of notification where it may hinder the progress of a criminal investigation related to a serious breach."," Consent of the data subject refers to any freely given, specific, informed indication of will, whereby the data subject agrees to the collection and processing of personal information about and/or relating to him or her. Consent shall be evidenced by written, electronic or recorded means. It may also be given on behalf of the data subject by an agent specifically authorized by the data subject to do so

Distinguishes consent for processing personal vs sensitive personal information
For personal: consent must be given by data subject
For sensitive personal: consent must be given by data subject; specific to the purpose prior to the processing, or in the case of privileged information, all parties to the exchange have given their consent prior to processing;","Retained only for as long as necessary for the fulfillment of the purposes for which the data was obtained or for the establishment, exercise or defense of legal claims, or for legitimate business purposes, or as provided by law;","""a. Data sharing shall be allowed when it is expressly authorized by law: Provided, that there are adequate safeguards for data privacy and security, and processing adheres to principle of transparency, legitimate purpose and proportionality.

b. Data Sharing shall be allowed in the private sector if the data subject consents to data sharing, and the following conditions are complied with:

1. Consent for data sharing shall be required even when the data is to be shared with an affiliate or mother company, or similar relationships;

2. Data sharing for commercial purposes, including direct marketing, shall be covered by a data sharing agreement.

(a) The data sharing agreement shall establish adequate safeguards for data privacy and security, and uphold rights of data subjects.

(b) The data sharing agreement shall be subject to review by the Commission, on its own initiative or upon complaint of data subject;""
.","""This Act applies to an act done or practice engaged in and outside of the Philippines by an entity if:

(a) The act, practice or processing relates to personal information about a Philippine citizen or a resident;

(b) The entity has a link with the Philippines, and the entity is processing personal information in the Philippines or even if the processing is outside the Philippines as long as it is about Philippine citizens or residents such as, but not limited to, the following:

(1) A contract is entered in the Philippines;

(2) A juridical entity unincorporated in the Philippines but has central management and control in the country; and

(3) An entity that has a branch, agency, office or subsidiary in the Philippines and the parent or affiliate of the Philippine entity has access to personal information; and

(c) The entity has other links in the Philippines such as, but not limited to:

(1) The entity carries on business in the Philippines; and

(2) The personal information was collected or held by an entity in the Philippines.""","Personal information must be  Accurate, relevant and, where necessary for purposes for which it is to be used the processing of personal information, kept up to date; inaccurate or incomplete data must be rectified, supplemented, destroyed or their further processing restricted;",No provision on encryption/decryption,"The personal information controller shall promptly notify the Commission and affected data subjects when sensitive personal information or other information that may, under the circumstances, be used to enable identity fraud are reasonably believed to have been acquired by an unauthorized person, and the personal information controller or the Commission believes that such unauthorized acquisition is likely to give rise to a real risk of serious harm to any affected data subject. The notification shall at least describe the nature of the breach, the sensitive personal information possibly involved, and the measures taken by the entity to address the breach. Notification may be delayed only to the extent necessary to determine the scope of the breach, to prevent further disclosures, or to restore reasonable integrity to the information and communications system.","A personal information controller may subcontract the processing of personal information: Provided, That the personal information controller shall be responsible for ensuring that proper safeguards are in place to ensure the confidentiality of the personal information processed, prevent its use for unauthorized purposes, and generally, comply with the requirements of this Act and other laws for processing of personal information. The personal information processor shall comply with all the requirements of this Act and other applicable laws.",No explicit provision on data localization,No explicit provision detailing data standards,"https://privacy.gov.ph/data-privacy-act/
https://privacy.gov.ph/implementing-rules-regulations-data-privacy-act-2012/#20","https://privacy.gov.ph/data-privacy-act/
https://privacy.gov.ph/implementing-rules-regulations-data-privacy-act-2012/#20",
Philippines,Bangko Sentral ng Pilipinas,"Financial Products and Services Consumer Protection Act (RA 11765)
BSP Circular No. 1160 (Implementing Regulations of RA 11765)",2022.0,No explicit provision,No explicit provision,"- Each financial service provider must respect the privacy and protect the data of their clients. Consistent with the provisions of Republic Act No. 10173, otherwise known as the “Data Privacy Act of 2012”, the financial regulators shall issue regulations in coordination with the National Privacy Commission, governing the disclosure of client data to a third party.

'- Financial service providers shall adopt and implement information security standards to ensure the safety and protection of the confidentiality, integrity, availability, authenticity, and non­repudiation of the client's information and financial transactions and to ensure the data privacy of their clients. The financial regulators shall prescribe the minimum information security standards for compliance by all financial service providers.

====
The principles include having well-articulated privacy notices and policies, specifying and declaring the purpose/s for processing and criteria being relied on as the lawful basis for processing Client data, ensuring that the processing is necessary and not excessive in relation to the purpose, and implementing reasonable and appropriate information security measures and well-defined protocols for upholding data subject rights, among others.

Under this consumer protection standard on client information, Financial Consumers have the right to expect implementation of the most appropriate safeguards ensuring the confidentiality, integrity, and availability of their financial transactions, as well as expect that all relevant personal information lawfully disclosed in the course of a transaction, are kept confidential and are secured.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"https://legacy.senate.gov.ph/republic_acts/ra%2011765.pdf
https://www.bsp.gov.ph/Regulations/Issuances/2022/1160.pdf","https://legacy.senate.gov.ph/republic_acts/ra%2011765.pdf
https://www.bsp.gov.ph/Regulations/Issuances/2022/1160.pdf",
Philippines,Bangko Sentral ng Pilipinas,Harmonization with Internationally Accepted ISO 20022 Standard for Retail Payment Systems,2025.0,No explicit provision,No explicit provision,No explicit provision,Any additional customer information must be handled in compliance with user consent,"Participants must have the mechanism to maintain for at least five years all necessary records on transactions, both domestic and international, and enable the retrieval and interpretation of payment status and data efficiently.",Any additional customer information must be handled in compliance with data sharing,No explicit provision,"Automated Clearing House (ACH ) participants are responsible for ensuring the accuracy and completeness of transaction data, in strict compliance with applicable regulatory standards. ",No explicit provisions,No explicit provision,No explicit provision,No explicit provisions,"This policy mandates the harmonization withISO 20022, an international standard for exchanging electronic messages between financial institutions to facilitate seamless, efficient, and secure domestic and cross-border retail payments, with a particular focus on interoperability and straight-through processing.",https://www.bsp.gov.ph/Regulations/Issuances/2025/1223(corrected%20copy).pdf,https://www.bsp.gov.ph/Regulations/Issuances/2025/1223(corrected%20copy).pdf,
Singapore,Personal Data Protection Commission (PDPC),Personal Data Protection Act (PDPA),2012.0,No explicit provision,"-An organisation is responsible for personal data in its possession or under its control.
-An organisation must designate one or more individuals to be responsible for ensuring that the organisation complies with this Act.
-An individual designated may delegate to another individual the responsibility conferred by that designation.
-An organisation must make available to the public the business contact information of at least one of the individuals designated under the above requirements","An organisation must protect personal data in its possession or under its control by making reasonable security arrangements to prevent —
(a) unauthorised access, collection, use, disclosure, copying, modification or disposal, or similar risks; and
(b) the loss of any storage medium or device on which personal data is stored.","-Consent must be obtained with the information required and purpose in accordance with the act
 - Organization must not attempt to obtain consent with false/misleading information or use of deceptive/misleading practices
- Organization must not force someone to agree to the collection, use, or sharing of more personal data than what is reasonably needed to provide the product or service.

Deemed consent considered if
  - individual voluntary provides personal data; and it is reasonable that individual would voluntarily provide data
  - If a person gives their personal data to an organization to enter into a contract, they are considered to have consented—when reasonably necessary—to the data being shared with another organization, used by that organization, and further disclosed again
- the organization meets certain requirements, and the person does not object within the given time, except when
the data is used for any prohibited or specially regulated purposes.

Option to Withdraw consent ","An organisation must cease to retain its documents containing personal data, or remove the means by which the personal data can be associated with particular individuals, as soon as it is reasonable to assume that —
(a) the purpose for which that personal data was collected is no longer being served by retention of the personal data; and
(b) retention is no longer necessary for legal or business purpose","Individuals must be notified of the purposes for which their data will be collected, used, or disclosed.","An organisation must not transfer any personal data to a country or territory outside Singapore except in accordance with requirements prescribed under this Act to ensure that organisations provide a standard of protection to personal data so transferred that is comparable to the protection under this Act.
(2)  The Commission may, on the application of any organisation, by written notice exempt the organisation from any requirement prescribed pursuant to subsection (1) in respect of any transfer of personal data by that organisation.
(3)  An exemption under subsection (2) —
(a) may be granted subject to such conditions as the Commission may specify in writing; and
(b) need not be published in the Gazette and may be revoked at any time by the Commission.
(4)  The Commission may at any time add to, vary or revoke any condition imposed under this section.","An organisation must make a reasonable effort to ensure that personal data collected by or on behalf of the organisation is accurate and complete,
if the personal data is likely to be used to make a decision that affects the individual
or is likely to be disclosed to another organisation.",No explicit provison on encryption and decryption,"Organisation must conduct, in a reasonable and expeditious manner, an assessment of whether a data breach is a notifiable data breach

Data breach of significant scale is considered when number of affected individuals is 500","An organisation has the same obligation under this Act in respect of personal data processed on its behalf and for its purposes by a data intermediary as if the personal data were processed by the organisation itself.

if an individual withdraws consent to the collection, use or disclosure of personal data about the individual by an organisation for any purpose, the organisation must cease (and cause its data intermediaries and agents to cease) collecting, using or disclosing the personal data (as the case may be) unless such collection, use or disclosure (as the case may be) without the individual’s consent is required or authorised under this Act or other written law.

on breach: Where a data intermediary (other than a data intermediary mentioned in section 26E) has reason to believe that a data breach has occurred in relation to personal data that the data intermediary is processing on behalf of and for the purposes of another organisation —
(a) the data intermediary must, without undue delay, notify that other organisation of the occurrence of the data breach; and
(b) that other organisation must, upon notification by the data intermediary, conduct an assessment of whether the data breach is a notifiable data breach.

Where an organisation —
(a) is a data intermediary processing personal data on behalf of and for the purposes of a public agency; and
(b) has reason to believe that a data breach has occurred in relation to that personal data,
the organisation must, without undue delay, notify the public agency of the occurrence of the data breac",No explicit provision on data localization,No explicit provision on data standards,https://sso.agc.gov.sg/Act/PDPA2012,https://sso.agc.gov.sg/Act/PDPA2012,
Singapore,Personal Data Protection Commission (PDPC),Personal Data Protection Regulations,2021.0,No explicit provision,"-An organisation is responsible for personal data in its possession or under its control.
-An organisation must designate one or more individuals to be responsible for ensuring that the organisation complies with this Act.
-An individual designated may delegate to another individual the responsibility conferred by that designation.
-An organisation must make available to the public the business contact information of at least one of the individuals designated under the above requirements","An organisation must protect personal data in its possession or under its control by making reasonable security arrangements to prevent —
(a) unauthorised access, collection, use, disclosure, copying, modification or disposal, or similar risks; and
(b) the loss of any storage medium or device on which personal data is stored.","-Consent must be obtained with the information required and purpose in accordance with the act
 - Organization must not attempt to obtain consent with false/misleading information or use of deceptive/misleading practices
- Organization must not force someone to agree to the collection, use, or sharing of more personal data than what is reasonably needed to provide the product or service.

Deemed consent considered if
  - individual voluntary provides personal data; and it is reasonable that individual would voluntarily provide data
  - If a person gives their personal data to an organization to enter into a contract, they are considered to have consented—when reasonably necessary—to the data being shared with another organization, used by that organization, and further disclosed again
- the organization meets certain requirements, and the person does not object within the given time, except when
the data is used for any prohibited or specially regulated purposes.

Option to Withdraw consent ","An organisation must cease to retain its documents containing personal data, or remove the means by which the personal data can be associated with particular individuals, as soon as it is reasonable to assume that —
(a) the purpose for which that personal data was collected is no longer being served by retention of the personal data; and
(b) retention is no longer necessary for legal or business purpose","Individuals must be notified of the purposes for which their data will be collected, used, or disclosed.","An organisation must not transfer any personal data to a country or territory outside Singapore except in accordance with requirements prescribed under this Act to ensure that organisations provide a standard of protection to personal data so transferred that is comparable to the protection under this Act.
(2)  The Commission may, on the application of any organisation, by written notice exempt the organisation from any requirement prescribed pursuant to subsection (1) in respect of any transfer of personal data by that organisation.
(3)  An exemption under subsection (2) —
(a) may be granted subject to such conditions as the Commission may specify in writing; and
(b) need not be published in the Gazette and may be revoked at any time by the Commission.
(4)  The Commission may at any time add to, vary or revoke any condition imposed under this section.","An organisation must make a reasonable effort to ensure that personal data collected by or on behalf of the organisation is accurate and complete,
if the personal data is likely to be used to make a decision that affects the individual
or is likely to be disclosed to another organisation.",No explicit provison on encryption and decryption,"Organisation must conduct, in a reasonable and expeditious manner, an assessment of whether a data breach is a notifiable data breach

Data breach of significant scale is considered when number of affected individuals is 500","An organisation has the same obligation under this Act in respect of personal data processed on its behalf and for its purposes by a data intermediary as if the personal data were processed by the organisation itself.

if an individual withdraws consent to the collection, use or disclosure of personal data about the individual by an organisation for any purpose, the organisation must cease (and cause its data intermediaries and agents to cease) collecting, using or disclosing the personal data (as the case may be) unless such collection, use or disclosure (as the case may be) without the individual’s consent is required or authorised under this Act or other written law.

on breach: Where a data intermediary (other than a data intermediary mentioned in section 26E) has reason to believe that a data breach has occurred in relation to personal data that the data intermediary is processing on behalf of and for the purposes of another organisation —
(a) the data intermediary must, without undue delay, notify that other organisation of the occurrence of the data breach; and
(b) that other organisation must, upon notification by the data intermediary, conduct an assessment of whether the data breach is a notifiable data breach.

Where an organisation —
(a) is a data intermediary processing personal data on behalf of and for the purposes of a public agency; and
(b) has reason to believe that a data breach has occurred in relation to that personal data,
the organisation must, without undue delay, notify the public agency of the occurrence of the data breac",No explicit provision on data localization,No explicit provision on data standards,https://sso.agc.gov.sg/SL/PDPA2012-S63-2021,https://sso.agc.gov.sg/SL/PDPA2012-S64-2021,
Singapore,Monetary Authority of Singapore,MAS TRM Guidelines,2021.0,"classification of an information asset based on its security classification
or criticality","the FI should establish the ownership of information assets, and the roles and responsibilities of the staff managing the information assetsstablish","The FI should establish policies, standards and procedures and, where
appropriate, incorporate industry standards and best practices to manage technology
risks and safeguard information assets",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"-The FI should assess and manage its exposure to technology risks that may affect the confidentiality, integrity and availability of the IT systems and data at the third party before entering into a contractual agreement or partnership.
-On an ongoing basis, the FI should ensure the third party employs a high standard of care and diligence in protecting data confidentiality and intgrity",No explicit provision,No explicit provision,https://www.mas.gov.sg/-/media/MAS/.../TRM-Guidelines-18-January-2021.pdf,https://www.mas.gov.sg/-/media/MAS/.../TRM-Guidelines-18-January-2021.pdf,
Singapore,Monetary Authority of Singapore (MAS),E-Payments User Protection Duties Guidelines,2024.0,No explicit provision,No explicit provision,"An account user of a protected account should not do any of the following:
(a) voluntarily disclose any access code to any third party, including the staff of any  responsible FI;
(b) disclose the access code in a recognisable way on any payment account,  authentication device, or any container for the payment account
(c) keep a record of any access code in a way that allows any third party to easily misuse the access code.",No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/e-payments-user-protection-guidelines-with-effect-from-16-dec-2024/e-payments-user-protection-guidelines-with-effect-from-16-december-2024.pdf,https://www.mas.gov.sg/-/media/mas-media-library/regulation/guidelines/pso/e-payments-user-protection-guidelines-with-effect-from-16-dec-2024/e-payments-user-protection-guidelines-with-effect-from-16-december-2024.pdf,
Thailand,Personal Data Protection Committee (PDPC),PDPA B.E. 2562,2019.0,"Personal data and sensitive data distinguished with sensitive data including (pertaining to racial, ethnic origin,political opinions, cult, religious or philosophical beliefs, sexual behavior, criminal records, health data, disability, trade union information, genetic data, biometric data)","“Data Controller ” means a Person or a juristic person having the power and duties to make decisions regarding the collection, use, or disclosure of the Personal Data;
“Data Processor ” means a Person or a juristic person who operates in relation to the collection, use or disclosure of the Personal Data pursuant to the orders given by or on behalf of a Data Controller, whereby such Person or juristic person is not the Data Controller.

Duties of the Data Controller:
security, third‑party control, erasure, breach notification, representative.","Data Security: data controllers and data processor are tasked to provide security measures for preventing the unauthorized or unlawful loss, access to, use, alteration, correction or disclosure of Personal Data, and such measures must be reviewed when it is necessary, or when the technology has changed in order to efficiently maintain the appropriate security and safety","consent prior to or at the time of such collection, use, or disclosure, except the case where it is permitted to do so by the provisions of this Act or any other laws

-freely given
- explicitly made in a written statement, or via electronic means
- informed regarding its purpose
- clear (presented in a manner which is clearly distinguishable from the
other matters, in an easily accessible and intelligible form and statements, using clear and plain language, and does not deceptive or misleading to the data subject in respect to such purpose)

-data subject may withdraw his or her consent at any time.

For minors
- holder of parental responsibility over the child.(legal guardian)","the Data Controller shall inform the data subject, prior to or at the time of such collection, of the Personal Data to be collected and the period for which the Personal Data will be retained. If it is not possible to specify the retention period, the expected data retention period according the data retention standard shall be specified

the data controller shall put in place the examination system for erasure or destruction of the Personal Data when the retention period ends","The Data Controller shall not disclose personal data without consent, unless consent is not required by law.

The Data subject has the right to request that the Data Controller send and transfer the data to another Data Controllers.","Destination country must have adequate data protection laws.
Adequacy is determined by PDPC based on:

Legal measures and safeguards
Enforcement mechanisms
Rights and remedies available to data subject

Provides alternative safeguards: (PDPC Notification under Section 29, covering Binding Corporate Rules (BCRs) and appropriate safeguards, such as:

Standard contractual clauses (SCCs)
Certifications
Binding arrangements between government entities

Except where the transfer is required for compliance with the law, made with the data subject’s consent after being informed of inadequate data protection, or necessary for performing a contract, complying with a contract for the benefit of the data subject, preventing threats to life, body, or health where consent cannot be obtained, or carrying out activities in the substantial public interest.","The Data Controller and Data processor must provide appropriate security measures to prevent unauthorized or unlawful loss, access, use, alteration, correction, or disclosure of personal data.

The Data Controller shall ensure that the personal data remain accurate, up-to-date, complete, and not misleading.

",No explicit provision,"- The Data Controller must notify the Office of any Personal Data breach without delay and, where feasible, within 72 hours after becoming aware of it, unless the breach is unlikely to result in a risk to the rights and freedoms of persons.; If the personal data breach is likely to result in a high risk to the rights and freedoms of persons, the Data Controller shall also notify the data subject of the breach and the remedial measures without delay.","When Personal Data is provided to other persons or legal persons, the Data Controller shall take action to prevent such person from using or disclosing Personal Data unlawfully or without authorization.",No explicit provision,No explicit provision,https://www.pdpc.or.th/wp-content/uploads/2023/12/2_Personal-Data-Protection-Act-2019.pdf,https://www.pdpc.or.th/wp-content/uploads/2023/12/2_Personal-Data-Protection-Act-2019.pdf,
Thailand,Personal Data Protection Committee (PDPC),PDPC Subordinate Regulations & Notifications,2023.0,"Personal data and sensitive data distinguished with sensitive data including (pertaining to racial, ethnic origin,political opinions, cult, religious or philosophical beliefs, sexual behavior, criminal records, health data, disability, trade union information, genetic data, biometric data)","“Data Controller ” means a Person or a juristic person having the power and duties to make decisions regarding the collection, use, or disclosure of the Personal Data;
“Data Processor ” means a Person or a juristic person who operates in relation to the collection, use or disclosure of the Personal Data pursuant to the orders given by or on behalf of a Data Controller, whereby such Person or juristic person is not the Data Controller.

Duties of the Data Controller:
security, third‑party control, erasure, breach notification, representative.","Data Security: data controllers and data processor are tasked to provide security measures for preventing the unauthorized or unlawful loss, access to, use, alteration, correction or disclosure of Personal Data, and such measures must be reviewed when it is necessary, or when the technology has changed in order to efficiently maintain the appropriate security and safety","consent prior to or at the time of such collection, use, or disclosure, except the case where it is permitted to do so by the provisions of this Act or any other laws

-freely given
- explicitly made in a written statement, or via electronic means
- informed regarding its purpose
- clear (presented in a manner which is clearly distinguishable from the
other matters, in an easily accessible and intelligible form and statements, using clear and plain language, and does not deceptive or misleading to the data subject in respect to such purpose)

-data subject may withdraw his or her consent at any time.

For minors
- holder of parental responsibility over the child.(legal guardian)","the Data Controller shall inform the data subject, prior to or at the time of such collection, of the Personal Data to be collected and the period for which the Personal Data will be retained. If it is not possible to specify the retention period, the expected data retention period according the data retention standard shall be specified

the data controller shall put in place the examination system for erasure or destruction of the Personal Data when the retention period ends","The Data Controller shall not disclose personal data without consent, unless consent is not required by law.

The Data subject has the right to request that the Data Controller send and transfer the data to another Data Controllers.","Destination country must have adequate data protection laws.
Adequacy is determined by PDPC based on:

Legal measures and safeguards
Enforcement mechanisms
Rights and remedies available to data subject

Provides alternative safeguards: (PDPC Notification under Section 29, covering Binding Corporate Rules (BCRs) and appropriate safeguards, such as:

Standard contractual clauses (SCCs)
Certifications
Binding arrangements between government entities

Except where the transfer is required for compliance with the law, made with the data subject’s consent after being informed of inadequate data protection, or necessary for performing a contract, complying with a contract for the benefit of the data subject, preventing threats to life, body, or health where consent cannot be obtained, or carrying out activities in the substantial public interest.","The Data Controller and Data processor must provide appropriate security measures to prevent unauthorized or unlawful loss, access, use, alteration, correction, or disclosure of personal data.

The Data Controller shall ensure that the personal data remain accurate, up-to-date, complete, and not misleading.

",No explicit provision,"- The Data Controller must notify the Office of any Personal Data breach without delay and, where feasible, within 72 hours after becoming aware of it, unless the breach is unlikely to result in a risk to the rights and freedoms of persons.; If the personal data breach is likely to result in a high risk to the rights and freedoms of persons, the Data Controller shall also notify the data subject of the breach and the remedial measures without delay.","When Personal Data is provided to other persons or legal persons, the Data Controller shall take action to prevent such person from using or disclosing Personal Data unlawfully or without authorization.",No explicit provision,No explicit provision,https://www.pdpc.or.th/en/category/notifications-of-the-pdpc/,https://www.pdpc.or.th/en/category/notifications-of-the-pdpc/,
Thailand,Bank of Thailand (BOT) ,Bank of Thailand (BOT) Data Governance Policy Statement,2022.0,No explicit provision,"Data Governance Structure based on the three lines of defense principle.
This could be done through
(1) Designating the personnel and relevant divisions with direct roles and responsibilities for data governance which consists of the following:
(1st line)
1. Oversight committee
2. Data Administrators (Senior Management or Division level)
3. Officers authorizing data-related operations
4. Data users
(2nd line)
5. risk management division
6. compliance unit
(3rd line)
7. division responsible for data-related operations and data risk management audit",Data security and privacy throughout the data life cycle should be corresponding to the level of data risk and the relevant regulations and legislations,No explicit provision,"- Review the lifespan of data usage as well as guidelines for data obliteration so that they are in line with the level of data confidentiality, especially sensitive data that should be obliterated appropriately while not being in conflict with relevant regulations and legislations
- Have a guideline in archiving the data according to its confidentiality level and store data only as needed
-Have a guideline to appropriately control data access in order to prevent access by unauthorized parties
- Have data back up that is ready to use at all times","Financial insitutions must have:
-Control access rights in a way that is in line with the objectives approved and review the rights regularly.
-Have a guideline for data disclosure or publishing that is in line with the level of data confidentiality while adhering to the relevant regulations and legislations.
-For personal data, financial institutions should consider the privacy of data owners as well.",No explicit provision,"Financial institutions must put in place the data quality management to ensure that the data is of quality, reliability and applicability to be accurately and appropriately used in the analysis and business decision making while building confidence for data users ",No explicit provision,"Financial institutions must report the data breach incident according to the Personal Data Protection Act B.E. 2562
For a data breach incident which carries a risk of having a severe impact on individual right and liberty, financial institutions must report the data breach incident to the owner of the personal data along with the remedy plan without any delay.","-Data governance policies should cover data governance for all types of data under financial institutions’ possession, including the services provided by third parties or related business partners.
-Having a plan to continuously raise awareness on data governance for all levels of personnel as well as relevant third parties.",No explicit provision,No explicit provision,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2564/EngPDF/25640163.pdf,https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2564/EngPDF/25640163.pdf,
Thailand,Bank of Thailand (BOT) ,BOT notifications on BAHTNET ISO 20022 migration (2022),2022.0,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,No explicit provision,"The Bank of Thailand (BOT) has adopted the ISO 20022 standards, a universal financial message scheme, for the BAHTNET services",https://www.bot.or.th/content/dam/bot/documents/en/our-roles/payment-systems/payment-systems-notification---circulars/bahtnet-system/notification/19_SorRorKhor_8-2565_MessageWithISO20022.pdf,https://www.bot.or.th/content/dam/bot/documents/en/our-roles/payment-systems/payment-systems-notification---circulars/bahtnet-system/notification/19_SorRorKhor_8-2565_MessageWithISO20022.pdf,
